R_fighter,B_fighter,TOTAL_KD,TOTAL_SIG_STR_LAND,TOTAL_SIG_STR_ATT,TOTAL_SIG_STR_ACC,TOTAL_TD_LAND,TOTAL_TD_ATT,TOTAL_TD_ACC,TOTAL_SUB_ATT,TOTAL_HEAD_STR_LAND,TOTAL_HEAD_STR_ATT,TOTAL_HEAD_STR_ACC,TOTAL_BODY_STR_LAND,TOTAL_BODY_STR_ATT,TOTAL_BODY_STR_ACC,TOTAL_LEG_STR_LAND,TOTAL_LEG_STR_ATT,TOTAL_LEG_STR_ACC,TOTAL_DISTANCE_STR_LAND,TOTAL_DISTANCE_STR_ATT,TOTAL_DISTANCE_STR_ACC,TOTAL_CLINCH_STR_LAND,TOTAL_CLINCH_STR_ATT,TOTAL_CLINCH_STR_ACC,TOTAL_GROUND_STR_LAND,TOTAL_GROUND_STR_ATT,TOTAL_GROUND_STR_ACC,Referee,year,location,Fight_type,Winner
Eddie Gordon,Chris Dempsey,0,81,278,0.291366906,6,15,0.4,0,73,269,0.271375465,7,7,1,1,2,0.5,68,258,0.263565891,8,14,0.571428571,5,6,0.833333333,Liam Kerrigan,2015,"Newark, New Jersey, USA",Middleweight Bout,Chris Dempsey
George Sullivan,Tim Means,1,87,294,0.295918367,2,7,0.285714286,1,55,223,0.246636771,21,57,0.368421053,11,14,0.785714286,64,253,0.252964427,14,25,0.56,9,16,0.5625,Keith Peterson,2015,"Newark, New Jersey, USA",Welterweight Bout,Tim Means
Diego Brandao,Jimy Hettes,0,23,42,0.547619048,3,6,0.5,0,13,28,0.464285714,9,11,0.818181818,1,3,0.333333333,6,16,0.375,13,17,0.764705882,4,9,0.444444444,Dan Miragliotta,2015,"Newark, New Jersey, USA",Featherweight Bout,Diego Brandao
Joanne Calderwood,Maryna Moroz,0,23,56,0.410714286,0,0,#DIV/0!,1,14,42,0.333333333,3,6,0.5,6,8,0.75,22,54,0.407407407,1,2,0.5,0,0,#DIV/0!,Lukasz Bosacki,2015,"Krakow, Poland",Women's Strawweight Bout,Maryna Moroz
Jimi Manuwa,Jan Blachowicz,0,87,192,0.453125,0,5,0,0,40,123,0.325203252,33,51,0.647058824,14,18,0.777777778,63,159,0.396226415,24,33,0.727272727,0,0,#DIV/0!,Marc Goddard,2015,"Krakow, Poland",Light Heavyweight Bout,Jimi Manuwa
Damian Stasiak,Yaotzin Meza,0,31,48,0.645833333,3,4,0.75,4,12,25,0.48,4,7,0.571428571,15,16,0.9375,17,33,0.515151515,2,2,1,12,13,0.923076923,Leon Roberts,2015,"Krakow, Poland",Featherweight Bout,Yaotzin Meza
Pawel Pawlak,Sheldon Westcott,0,47,105,0.447619048,6,15,0.4,0,21,64,0.328125,24,38,0.631578947,2,3,0.666666667,11,47,0.234042553,30,50,0.6,6,8,0.75,Grant Waterman,2015,"Krakow, Poland",Welterweight Bout,Pawel Pawlak
Bartosz Fabinski,Garreth McLellan,0,54,74,0.72972973,1,#VALUE!,#VALUE!,2,14,33,0.424242424,25,26,0.961538462,15,15,1,6,20,0.3,48,50,0.96,0,4,0,Marc Goddard,2015,"Krakow, Poland",Middleweight Bout,Bartosz Fabinski
Sergio Moraes,Mickael Lebout,0,98,193,0.507772021,2,3,0.666666667,0,73,164,0.445121951,13,14,0.928571429,12,15,0.8,96,190,0.505263158,0,0,#DIV/0!,2,3,0.666666667,Marc Goddard,2015,"Krakow, Poland",Welterweight Bout,Sergio Moraes
Seth Baczynski,Leon Edwards,1,3,7,0.428571429,0,0,#DIV/0!,0,3,6,0.5,0,1,0,0,0,#DIV/0!,1,5,0.2,0,0,#DIV/0!,2,2,1,Grant Waterman,2015,"Krakow, Poland",Welterweight Bout,Leon Edwards
Gabriel Gonzaga,Mirko Filipovic,0,40,93,0.430107527,2,8,0.25,1,36,86,0.418604651,3,5,0.6,1,2,0.5,6,39,0.153846154,6,11,0.545454545,28,43,0.651162791,Leon Roberts,2015,"Krakow, Poland",Heavyweight Bout,Mirko Filipovic
Daniel Omielanczuk,Anthony Hamilton,0,119,144,0.826388889,4,7,0.571428571,0,45,67,0.671641791,68,71,0.957746479,6,6,1,6,17,0.352941176,71,80,0.8875,42,47,0.893617021,Marc Goddard,2015,"Krakow, Poland",Heavyweight Bout,Anthony Hamilton
Izabela Badurek,Aleksandra Albu,0,74,107,0.691588785,1,9,0.111111111,1,38,69,0.550724638,13,15,0.866666667,23,23,1,35,66,0.53030303,39,41,0.951219512,0,0,#DIV/0!,Grant Waterman,2015,"Krakow, Poland",Women's Strawweight Bout,Aleksandra Albu
Taylor Lapilus,Rocky Lee,0,117,215,0.544186047,3,13,0.230769231,1,55,147,0.37414966,39,43,0.906976744,23,25,0.92,73,170,0.429411765,37,38,0.973684211,7,7,1,Lukasz Bosacki,2015,"Krakow, Poland",Featherweight Bout,Taylor Lapilus
Marcin Bandel,Stevie Ray,0,34,47,0.723404255,0,5,0,2,28,37,0.756756757,2,3,0.666666667,4,7,0.571428571,8,13,0.615384615,1,2,0.5,25,32,0.78125,Leon Roberts,2015,"Krakow, Poland",Lightweight Bout,Stevie Ray
Jorge Masvidal,Al Iaquinta,0,138,323,0.427244582,0,9,0,0,80,253,0.316205534,21,29,0.724137931,37,41,0.902439024,131,305,0.429508197,2,9,0.222222222,5,9,0.555555556,Keith Peterson,2015,"Fairfax, Virginia, USA",Lightweight Bout,Al Iaquinta
Chad Mendes,Ricardo Lamas,2,35,54,0.648148148,0,0,#DIV/0!,0,26,44,0.590909091,0,0,#DIV/0!,9,10,0.9,13,29,0.448275862,5,7,0.714285714,17,18,0.944444444,Dan Miragliotta,2015,"Fairfax, Virginia, USA",Featherweight Bout,Chad Mendes
Gray Maynard,Alexander Yakovlev,1,52,127,0.409448819,4,22,0.181818182,0,37,100,0.37,12,23,0.52173913,3,4,0.75,33,97,0.340206186,11,19,0.578947368,8,11,0.727272727,Dan Miragliotta,2015,"Fairfax, Virginia, USA",Lightweight Bout,Alexander Yakovlev
Michael Chiesa,Mitch Clarke,0,124,248,0.5,4,11,0.363636364,0,84,198,0.424242424,23,30,0.766666667,17,20,0.85,93,212,0.438679245,20,24,0.833333333,11,12,0.916666667,Dan Miragliotta,2015,"Fairfax, Virginia, USA",Lightweight Bout,Michael Chiesa
Clay Guida,Robert Peralta,0,51,148,0.344594595,6,11,0.545454545,1,17,111,0.153153153,10,11,0.909090909,24,26,0.923076923,26,114,0.228070175,15,24,0.625,10,10,1,Mike King,2015,"Fairfax, Virginia, USA",Featherweight Bout,Clay Guida
Julianna Pena,Milana Dudieva,0,37,78,0.474358974,2,3,0.666666667,0,32,70,0.457142857,0,2,0,5,6,0.833333333,0,11,0,5,8,0.625,32,59,0.542372881,Keith Peterson,2015,"Fairfax, Virginia, USA",Women's Bantamweight Bout,Julianna Pena
Dustin Poirier,Diego Ferreira,2,44,106,0.41509434,0,2,0,0,32,91,0.351648352,6,9,0.666666667,6,6,1,36,93,0.387096774,5,6,0.833333333,3,7,0.428571429,Todd McGovern,2015,"Fairfax, Virginia, USA",Lightweight Bout,Dustin Poirier
Shamil Abdurakhimov,Timothy Johnson,0,31,84,0.369047619,1,3,0.333333333,0,19,63,0.301587302,1,7,0.142857143,11,14,0.785714286,12,51,0.235294118,8,15,0.533333333,11,18,0.611111111,Mike King,2015,"Fairfax, Virginia, USA",Heavyweight Bout,Timothy Johnson
Liz Carmouche,Lauren Murphy,0,84,168,0.5,4,17,0.235294118,0,25,102,0.245098039,10,14,0.714285714,49,52,0.942307692,36,115,0.313043478,42,47,0.893617021,6,6,1,Keith Peterson,2015,"Fairfax, Virginia, USA",Women's Bantamweight Bout,Liz Carmouche
Ron Stallings,Justin Jones,0,73,156,0.467948718,2,12,0.166666667,0,43,119,0.361344538,20,24,0.833333333,10,13,0.769230769,37,92,0.402173913,32,58,0.551724138,4,6,0.666666667,Todd McGovern,2015,"Fairfax, Virginia, USA",Middleweight Bout,Ron Stallings
Leonardo Santos,Anthony Rocco Martin,0,26,75,0.346666667,1,5,0.2,1,14,55,0.254545455,1,4,0.25,11,16,0.6875,26,75,0.346666667,0,0,#DIV/0!,0,0,#DIV/0!,John McCarthy,2015,"Rio de Janeiro, Brazil",Lightweight Bout,Leonardo Santos
Amanda Nunes,Shayna Baszler,1,16,25,0.64,0,2,0,0,9,16,0.5625,1,2,0.5,6,7,0.857142857,14,21,0.666666667,0,1,0,2,3,0.666666667,Mario Yamasaki,2015,"Rio de Janeiro, Brazil",Women's Bantamweight Bout,Amanda Nunes
Godofredo Pepey,Andre Fili,0,2,10,0.2,0,2,0,1,0,7,0,1,2,0.5,1,1,1,1,8,0.125,1,2,0.5,0,0,#DIV/0!,Eduardo Herdy,2015,"Rio de Janeiro, Brazil",Featherweight Bout,Godofredo Pepey
Gilbert Burns,Alex Oliveira,0,46,120,0.383333333,2,5,0.4,2,30,99,0.303030303,8,10,0.8,8,11,0.727272727,36,107,0.336448598,6,9,0.666666667,4,4,1,Osiris Maia,2015,"Rio de Janeiro, Brazil",Lightweight Bout,Gilbert Burns
Francisco Trinaldo,Akbarh Arreola,0,73,189,0.386243386,3,3,1,0,46,153,0.300653595,13,18,0.722222222,14,18,0.777777778,47,136,0.345588235,4,6,0.666666667,22,47,0.468085106,John McCarthy,2015,"Rio de Janeiro, Brazil",Lightweight Bout,Francisco Trinaldo
Demian Maia,Ryan LaFlare,0,61,160,0.38125,5,14,0.357142857,2,40,125,0.32,8,18,0.444444444,13,17,0.764705882,36,127,0.283464567,0,0,#DIV/0!,25,33,0.757575758,John McCarthy,2015,"Rio de Janeiro, Brazil",Welterweight Bout,Demian Maia
Edimilson Souza,Katsunori Kikuno,1,6,11,0.545454545,0,0,#DIV/0!,0,4,7,0.571428571,1,2,0.5,1,2,0.5,5,10,0.5,0,0,#DIV/0!,1,1,1,Osiris Maia,2015,"Rio de Janeiro, Brazil",Featherweight Bout,Edimilson Souza
Erick Silva,Josh Koscheck,0,18,53,0.339622642,0,4,0,1,12,42,0.285714286,5,9,0.555555556,1,2,0.5,12,46,0.260869565,2,2,1,4,5,0.8,Mario Yamasaki,2015,"Rio de Janeiro, Brazil",Welterweight Bout,Erick Silva
Leonardo Mafra,Cain Carrizosa,1,138,292,0.47260274,5,11,0.454545455,0,100,236,0.423728814,19,34,0.558823529,19,22,0.863636364,111,249,0.445783133,10,18,0.555555556,17,25,0.68,Mario Yamasaki,2015,"Rio de Janeiro, Brazil",Lightweight Bout,Leonardo Mafra
Leandro Silva,Drew Dober,0,47,120,0.391666667,2,4,0.5,1,25,86,0.290697674,11,13,0.846153846,11,21,0.523809524,37,99,0.373737374,10,21,0.476190476,0,0,#DIV/0!,Eduardo Herdy,2015,"Rio de Janeiro, Brazil",Lightweight Bout,
Jorge de Oliveira,Christos Giagos,0,18,38,0.473684211,1,1,1,1,18,37,0.486486486,0,0,#DIV/0!,0,1,0,2,8,0.25,0,0,#DIV/0!,16,30,0.533333333,Eduardo Herdy,2015,"Rio de Janeiro, Brazil",Lightweight Bout,Christos Giagos
Bentley Syler,Fredy Serrano,1,35,177,0.197740113,2,8,0.25,0,24,151,0.158940397,4,13,0.307692308,7,13,0.538461538,33,171,0.192982456,2,6,0.333333333,0,0,#DIV/0!,Osiris Maia,2015,"Rio de Janeiro, Brazil",Flyweight Bout,Fredy Serrano
Elias Theodorou,Roger Narvaez,0,55,162,0.339506173,2,4,0.5,0,31,116,0.267241379,14,27,0.518518519,10,19,0.526315789,37,135,0.274074074,4,6,0.666666667,14,21,0.666666667,Kerry Hatley,2015,"Dallas, Texas, USA",Middleweight Bout,Elias Theodorou
Johny Hendricks,Matt Brown,0,59,116,0.50862069,9,10,0.9,0,43,97,0.443298969,12,14,0.857142857,4,5,0.8,32,74,0.432432432,10,14,0.714285714,17,28,0.607142857,Kerry Hatley,2015,"Dallas, Texas, USA",Welterweight Bout,Johny Hendricks
Carla Esparza,Joanna Jedrzejczyk,0,57,127,0.448818898,1,17,0.058823529,0,53,120,0.441666667,4,6,0.666666667,0,1,0,34,94,0.361702128,18,28,0.642857143,5,5,1,Don Turnage,2015,"Dallas, Texas, USA",UFC Women's Strawweight Title Bout,Joanna Jedrzejczyk
Ross Pearson,Sam Stout,1,48,186,0.258064516,0,1,0,0,28,150,0.186666667,13,27,0.481481481,7,9,0.777777778,45,183,0.245901639,1,1,1,2,2,1,Dan Miragliotta,2015,"Dallas, Texas, USA",Lightweight Bout,Ross Pearson
Chris Cariaso,Henry Cejudo,0,72,164,0.43902439,6,7,0.857142857,1,39,112,0.348214286,31,46,0.673913043,2,6,0.333333333,36,112,0.321428571,17,28,0.607142857,19,24,0.791666667,Herb Dean,2015,"Dallas, Texas, USA",Flyweight Bout,Henry Cejudo
Roy Nelson,Alistair Overeem,1,85,161,0.527950311,0,6,0,0,36,97,0.371134021,28,39,0.717948718,21,25,0.84,73,140,0.521428571,11,18,0.611111111,1,3,0.333333333,Herb Dean,2015,"Dallas, Texas, USA",Heavyweight Bout,Alistair Overeem
Anthony Pettis,Rafael Dos Anjos,0,144,333,0.432432432,9,11,0.818181818,0,82,254,0.322834646,38,53,0.716981132,24,26,0.923076923,111,282,0.393617021,12,20,0.6,21,31,0.677419355,Dan Miragliotta,2015,"Dallas, Texas, USA",UFC Lightweight Title Bout,Rafael Dos Anjos
Daron Cruickshank,Beneil Dariush,0,44,94,0.468085106,1,6,0.166666667,2,23,66,0.348484848,13,19,0.684210526,8,9,0.888888889,29,73,0.397260274,8,13,0.615384615,7,8,0.875,Don Turnage,2015,"Dallas, Texas, USA",Lightweight Bout,Beneil Dariush
Jake Lindsey,Joe Duffy,1,21,63,0.333333333,0,0,#DIV/0!,0,13,52,0.25,3,5,0.6,5,6,0.833333333,20,61,0.327868852,0,0,#DIV/0!,1,2,0.5,Herb Dean,2015,"Dallas, Texas, USA",Lightweight Bout,Joe Duffy
Sergio Pettis,Ryan Benoit,1,67,190,0.352631579,2,4,0.5,0,58,177,0.327683616,8,10,0.8,1,3,0.333333333,53,165,0.321212121,1,2,0.5,13,23,0.565217391,Kerry Hatley,2015,"Dallas, Texas, USA",Flyweight Bout,Ryan Benoit
Jared Rosholt,Josh Copeland,0,31,81,0.382716049,2,6,0.333333333,0,26,75,0.346666667,5,6,0.833333333,0,0,#DIV/0!,15,52,0.288461538,6,12,0.5,10,17,0.588235294,Dan Miragliotta,2015,"Dallas, Texas, USA",Heavyweight Bout,Jared Rosholt
Larissa Pacheco,Germaine de Randamie,0,37,144,0.256944444,0,0,#DIV/0!,0,30,124,0.241935484,1,6,0.166666667,6,14,0.428571429,36,143,0.251748252,1,1,1,0,0,#DIV/0!,Don Turnage,2015,"Dallas, Texas, USA",Women's Bantamweight Bout,Germaine de Randamie
Jake Ellenberger,Josh Koscheck,0,22,92,0.239130435,1,6,0.166666667,1,19,86,0.220930233,3,6,0.5,0,0,#DIV/0!,18,88,0.204545455,4,4,1,0,0,#DIV/0!,Jerin Valel,2015,"Los Angeles, California, USA",Welterweight Bout,Jake Ellenberger
Dhiego Lima,Tim Means,2,30,66,0.454545455,0,1,0,0,22,51,0.431372549,5,12,0.416666667,3,3,1,15,47,0.319148936,13,16,0.8125,2,3,0.666666667,Herb Dean,2015,"Los Angeles, California, USA",Welterweight Bout,Tim Means
Mark Munoz,Roan Carneiro,0,1,4,0.25,0,1,0,1,0,2,0,0,0,#DIV/0!,1,2,0.5,1,4,0.25,0,0,#DIV/0!,0,0,#DIV/0!,Jerin Valel,2015,"Los Angeles, California, USA",Middleweight Bout,Roan Carneiro
Roman Salazar,Norifumi Yamamoto,0,35,98,0.357142857,1,2,0.5,0,24,83,0.289156627,3,7,0.428571429,8,8,1,31,92,0.336956522,4,6,0.666666667,0,0,#DIV/0!,John McCarthy,2015,"Los Angeles, California, USA",Bantamweight Bout,
Tony Ferguson,Gleison Tibau,0,13,58,0.224137931,1,2,0.5,2,7,45,0.155555556,3,8,0.375,3,5,0.6,10,50,0.2,0,0,#DIV/0!,3,8,0.375,Herb Dean,2015,"Los Angeles, California, USA",Lightweight Bout,Tony Ferguson
Ronda Rousey,Cat Zingano,0,0,1,0,0,0,#DIV/0!,1,0,0,#DIV/0!,0,1,0,0,0,#DIV/0!,0,1,0,0,0,#DIV/0!,0,0,#DIV/0!,John McCarthy,2015,"Los Angeles, California, USA",UFC Women's Bantamweight Title Bout,Ronda Rousey
Raquel Pennington,Holly Holm,0,84,349,0.240687679,0,5,0,0,41,271,0.151291513,27,50,0.54,16,28,0.571428571,61,315,0.193650794,22,33,0.666666667,1,1,1,Herb Dean,2015,"Los Angeles, California, USA",Women's Bantamweight Bout,Holly Holm
James Krause,Valmir Lazaro,0,174,463,0.375809935,0,10,0,0,118,377,0.312997347,30,52,0.576923077,26,34,0.764705882,164,447,0.36689038,10,16,0.625,0,0,#DIV/0!,John McCarthy,2015,"Los Angeles, California, USA",Lightweight Bout,Valmir Lazaro
Alan Jouban,Richard Walsh,0,22,45,0.488888889,0,0,#DIV/0!,0,10,29,0.344827586,9,10,0.9,3,6,0.5,16,34,0.470588235,6,11,0.545454545,0,0,#DIV/0!,John McCarthy,2015,"Los Angeles, California, USA",Welterweight Bout,Alan Jouban
Derrick Lewis,Ruan Potts,0,60,95,0.631578947,1,5,0.2,1,49,82,0.597560976,7,9,0.777777778,4,4,1,7,15,0.466666667,5,5,1,48,75,0.64,Jerin Valel,2015,"Los Angeles, California, USA",Heavyweight Bout,Derrick Lewis
Masio Fullen,Alex Torres,0,78,233,0.334763948,3,11,0.272727273,0,54,194,0.278350515,17,24,0.708333333,7,15,0.466666667,50,170,0.294117647,26,59,0.440677966,2,4,0.5,Herb Dean,2015,"Los Angeles, California, USA",Featherweight Bout,Masio Fullen
Cezar Ferreira,Sam Alvey,1,17,44,0.386363636,0,0,#DIV/0!,0,10,31,0.322580645,4,9,0.444444444,3,4,0.75,15,41,0.365853659,0,1,0,2,2,1,Mario Yamasaki,2015,"Porto Alegre, Rio Grande do Sul, Brazil",Middleweight Bout,Sam Alvey
Santiago Ponzinibbio,Sean Strickland,0,94,329,0.285714286,3,7,0.428571429,0,78,285,0.273684211,8,28,0.285714286,8,16,0.5,88,315,0.279365079,4,12,0.333333333,2,2,1,Wernei Cardoso,2015,"Porto Alegre, Rio Grande do Sul, Brazil",Welterweight Bout,Santiago Ponzinibbio
Iuri Alcantara,Frankie Saenz,0,75,154,0.487012987,5,8,0.625,0,34,95,0.357894737,21,35,0.6,20,24,0.833333333,30,88,0.340909091,18,22,0.818181818,27,44,0.613636364,Mario Yamasaki,2015,"Porto Alegre, Rio Grande do Sul, Brazil",Bantamweight Bout,Frankie Saenz
Antonio Silva,Frank Mir,1,11,21,0.523809524,0,0,#DIV/0!,0,10,18,0.555555556,0,2,0,1,1,1,5,13,0.384615385,0,0,#DIV/0!,6,8,0.75,Mario Yamasaki,2015,"Porto Alegre, Rio Grande do Sul, Brazil",Heavyweight Bout,Frank Mir
Rustam Khabilov,Adriano Martins,0,30,118,0.254237288,3,8,0.375,0,16,95,0.168421053,9,14,0.642857143,5,9,0.555555556,29,113,0.256637168,1,3,0.333333333,0,2,0,Leon Roberts,2015,"Porto Alegre, Rio Grande do Sul, Brazil",Lightweight Bout,Adriano Martins
Jessica Andrade,Marion Reneau,1,12,31,0.387096774,0,0,#DIV/0!,1,10,29,0.344827586,2,2,1,0,0,#DIV/0!,8,25,0.32,4,6,0.666666667,0,0,#DIV/0!,Camila Albuquerque,2015,"Porto Alegre, Rio Grande do Sul, Brazil",Women's Bantamweight Bout,Marion Reneau
Edson Barboza,Michael Johnson,0,69,285,0.242105263,1,3,0.333333333,0,42,227,0.185022026,20,44,0.454545455,7,14,0.5,67,279,0.240143369,0,2,0,2,4,0.5,Leon Roberts,2015,"Porto Alegre, Rio Grande do Sul, Brazil",Lightweight Bout,Michael Johnson
William Macario,Matt Dwyer,1,21,57,0.368421053,0,1,0,0,11,35,0.314285714,2,8,0.25,8,14,0.571428571,17,52,0.326923077,0,0,#DIV/0!,4,5,0.8,Wernei Cardoso,2015,"Porto Alegre, Rio Grande do Sul, Brazil",Welterweight Bout,Matt Dwyer
Tiago dos Santos e Silva,Mike de la Torre,1,23,42,0.547619048,0,3,0,0,16,33,0.484848485,3,5,0.6,4,4,1,9,22,0.409090909,6,10,0.6,8,10,0.8,Leon Roberts,2015,"Porto Alegre, Rio Grande do Sul, Brazil",Featherweight Bout,Mike de la Torre
Douglas Silva de Andrade,Cody Gibson,1,69,268,0.257462687,0,6,0,0,39,223,0.174887892,9,19,0.473684211,21,26,0.807692308,63,258,0.244186047,3,6,0.5,3,4,0.75,Camila Albuquerque,2015,"Porto Alegre, Rio Grande do Sul, Brazil",Bantamweight Bout,Douglas Silva de Andrade
Ivan Jorge,Josh Shockley,0,47,136,0.345588235,3,12,0.25,1,28,98,0.285714286,14,31,0.451612903,5,7,0.714285714,33,108,0.305555556,13,25,0.52,1,3,0.333333333,Mario Yamasaki,2015,"Porto Alegre, Rio Grande do Sul, Brazil",Lightweight Bout,Ivan Jorge
Michel Prazeres,Kevin Lee,0,95,242,0.392561983,7,14,0.5,3,68,207,0.328502415,22,30,0.733333333,5,5,1,65,202,0.321782178,16,21,0.761904762,14,19,0.736842105,Tim Mills,2015,"Broomfield, Colorado, USA",Lightweight Bout,Kevin Lee
Efrain Escudero,Rodrigo de Lima,1,118,201,0.587064677,5,10,0.5,0,87,167,0.520958084,20,21,0.952380952,11,13,0.846153846,62,136,0.455882353,17,17,1,39,48,0.8125,Don Thais,2015,"Broomfield, Colorado, USA",Lightweight Bout,Efrain Escudero
Benson Henderson,Brandon Thatch,0,101,297,0.34006734,5,8,0.625,1,49,220,0.222727273,32,49,0.653061224,20,28,0.714285714,88,278,0.316546763,8,13,0.615384615,5,6,0.833333333,Herb Dean,2015,"Broomfield, Colorado, USA",Welterweight Bout,Benson Henderson
Ray Borg,Chris Kelades,0,23,40,0.575,5,7,0.714285714,4,13,28,0.464285714,9,10,0.9,1,2,0.5,3,14,0.214285714,4,5,0.8,16,21,0.761904762,Adam Martinez,2015,"Broomfield, Colorado, USA",Flyweight Bout,Ray Borg
Chas Skelly,Jim Alers,1,75,131,0.572519084,1,7,0.142857143,1,57,109,0.52293578,9,12,0.75,9,10,0.9,49,98,0.5,24,31,0.774193548,2,2,1,Tim Mills,2015,"Broomfield, Colorado, USA",Featherweight Bout,Chas Skelly
Neil Magny,Kiichi Kunimoto,0,86,140,0.614285714,4,8,0.5,1,57,103,0.553398058,23,30,0.766666667,6,7,0.857142857,39,78,0.5,28,41,0.682926829,19,21,0.904761905,Herb Dean,2015,"Broomfield, Colorado, USA",Welterweight Bout,Neil Magny
Daniel Kelly,Patrick Walsh,0,111,486,0.228395062,1,4,0.25,0,108,482,0.22406639,1,2,0.5,2,2,1,111,486,0.228395062,0,0,#DIV/0!,0,0,#DIV/0!,Tom Johnson,2015,"Broomfield, Colorado, USA",Middleweight Bout,Daniel Kelly
Max Holloway,Cole Miller,0,88,308,0.285714286,1,3,0.333333333,0,52,238,0.218487395,21,42,0.5,15,28,0.535714286,72,282,0.255319149,12,19,0.631578947,4,7,0.571428571,Adam Martinez,2015,"Broomfield, Colorado, USA",Featherweight Bout,Max Holloway
James Moontasri,Cody Pfister,0,44,95,0.463157895,0,8,0,1,35,82,0.426829268,8,12,0.666666667,1,1,1,9,30,0.3,17,28,0.607142857,18,37,0.486486486,Don Thais,2015,"Broomfield, Colorado, USA",Lightweight Bout,James Moontasri
Zach Makovsky,Tim Elliott,0,64,121,0.52892562,7,13,0.538461538,0,45,98,0.459183673,11,14,0.785714286,8,9,0.888888889,28,70,0.4,11,19,0.578947368,25,32,0.78125,Tom Johnson,2015,"Broomfield, Colorado, USA",Flyweight Bout,Zach Makovsky
Ed Herman,Derek Brunson,1,11,22,0.5,0,0,#DIV/0!,0,10,21,0.476190476,0,0,#DIV/0!,1,1,1,4,10,0.4,0,0,#DIV/0!,7,12,0.583333333,Mark Smith,2015,"Las Vegas, Nevada, USA",Middleweight Bout,Derek Brunson
Joe Lauzon,Al Iaquinta,1,91,240,0.379166667,1,4,0.25,0,75,216,0.347222222,9,15,0.6,7,9,0.777777778,83,226,0.367256637,5,8,0.625,3,6,0.5,Marc Goddard,2015,"Las Vegas, Nevada, USA",Lightweight Bout,Al Iaquinta
Jordan Mein,Thiago Alves,1,60,164,0.365853659,0,0,#DIV/0!,0,43,139,0.309352518,7,10,0.7,10,15,0.666666667,50,146,0.342465753,4,10,0.4,6,8,0.75,Herb Dean,2015,"Las Vegas, Nevada, USA",Welterweight Bout,Thiago Alves
Tyron Woodley,Kelvin Gastelum,0,59,247,0.238866397,0,0,#DIV/0!,0,27,185,0.145945946,21,45,0.466666667,11,17,0.647058824,51,236,0.216101695,8,11,0.727272727,0,0,#DIV/0!,Herb Dean,2015,"Las Vegas, Nevada, USA",Welterweight Bout,Tyron Woodley
Ian McCall,John Lineker,0,78,213,0.366197183,1,6,0.166666667,3,32,144,0.222222222,38,55,0.690909091,8,14,0.571428571,59,168,0.351190476,10,26,0.384615385,9,19,0.473684211,John McCarthy,2015,"Las Vegas, Nevada, USA",Flyweight Bout,John Lineker
Anderson Silva,Nick Diaz,0,185,440,0.420454545,0,1,0,0,96,295,0.325423729,25,50,0.5,64,95,0.673684211,175,416,0.420673077,10,24,0.416666667,0,0,#DIV/0!,John McCarthy,2015,"Las Vegas, Nevada, USA",Middleweight Bout,
Thales Leites,Tim Boetsch,1,46,126,0.365079365,1,2,0.5,2,38,114,0.333333333,4,5,0.8,4,7,0.571428571,37,104,0.355769231,6,18,0.333333333,3,4,0.75,John McCarthy,2015,"Las Vegas, Nevada, USA",Middleweight Bout,Thales Leites
Miesha Tate,Sara McMann,1,57,165,0.345454545,1,2,0.5,2,39,140,0.278571429,14,19,0.736842105,4,6,0.666666667,34,122,0.278688525,8,12,0.666666667,15,31,0.483870968,Marc Goddard,2015,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Miesha Tate
Rafael Natal,Tom Watson,0,96,302,0.317880795,8,13,0.615384615,0,56,231,0.242424242,7,28,0.25,33,43,0.76744186,93,292,0.318493151,2,4,0.5,1,6,0.166666667,Mark Smith,2015,"Las Vegas, Nevada, USA",Middleweight Bout,Rafael Natal
Thiago Santos,Andy Enz,1,21,66,0.318181818,0,0,#DIV/0!,0,16,60,0.266666667,3,4,0.75,2,2,1,7,49,0.142857143,6,6,1,8,11,0.727272727,Mark Smith,2015,"Las Vegas, Nevada, USA",Middleweight Bout,Thiago Santos
Richardson Moreira,Ildemar Alcantara,0,36,134,0.268656716,0,7,0,0,24,113,0.212389381,6,15,0.4,6,6,1,31,119,0.260504202,5,8,0.625,0,7,0,Marc Goddard,2015,"Las Vegas, Nevada, USA",Middleweight Bout,Ildemar Alcantara
Kenny Robertson,Sultan Aliev,1,22,47,0.468085106,0,3,0,0,13,36,0.361111111,5,7,0.714285714,4,4,1,16,39,0.41025641,4,6,0.666666667,2,2,1,Bobby Rehman,2015,"Stockholm, Sweden",Welterweight Bout,Kenny Robertson
Alexander Gustafsson,Anthony Johnson,1,40,67,0.597014925,0,0,#DIV/0!,0,37,61,0.606557377,0,1,0,3,5,0.6,19,41,0.463414634,4,5,0.8,17,21,0.80952381,Marc Goddard,2015,"Stockholm, Sweden",Light Heavyweight Bout,Anthony Johnson
Andy Ogle,Makwan Amirkhani,1,6,7,0.857142857,0,0,#DIV/0!,0,5,6,0.833333333,1,1,1,0,0,#DIV/0!,2,2,1,0,0,#DIV/0!,4,5,0.8,Kevin Sataki,2015,"Stockholm, Sweden",Featherweight Bout,Makwan Amirkhani
