R_fighter,B_fighter,TOTAL_KD,TOTAL_SIG_STR_LAND,TOTAL_SIG_STR_ATT,TOTAL_SIG_STR_ACC,TOTAL_TD_LAND,TOTAL_TD_ATT,TOTAL_TD_ACC,TOTAL_SUB_ATT,TOTAL_HEAD_STR_LAND,TOTAL_HEAD_STR_ATT,TOTAL_HEAD_STR_ACC,TOTAL_BODY_STR_LAND,TOTAL_BODY_STR_ATT,TOTAL_BODY_STR_ACC,TOTAL_LEG_STR_LAND,TOTAL_LEG_STR_ATT,TOTAL_LEG_STR_ACC,TOTAL_DISTANCE_STR_LAND,TOTAL_DISTANCE_STR_ATT,TOTAL_DISTANCE_STR_ACC,TOTAL_CLINCH_STR_LAND,TOTAL_CLINCH_STR_ATT,TOTAL_CLINCH_STR_ACC,TOTAL_GROUND_STR_LAND,TOTAL_GROUND_STR_ATT,TOTAL_GROUND_STR_ACC,Referee,year,location,Fight_type,Winner
Brendan Allen,Sean Strickland,1,145,251,0.577689243,1,1,1,0,118,220,0.536363636,13,16,0.8125,14,15,0.933333333,140,243,0.576131687,5,8,0.625,0,0,#DIV/0!,Herb Dean,2020,"Las Vegas, Nevada, USA",Catch Weight Bout,Sean Strickland
Geraldo de Freitas,Tony Gravely,0,125,229,0.545851528,8,21,0.380952381,0,98,198,0.494949495,16,19,0.842105263,11,12,0.916666667,96,189,0.507936508,9,12,0.75,20,28,0.714285714,Chris Tognoni,2020,"Las Vegas, Nevada, USA",Bantamweight Bout,Tony Gravely
Alex Morono,Rhys McKee,0,300,551,0.54446461,3,6,0.5,0,227,465,0.488172043,57,68,0.838235294,16,18,0.888888889,262,500,0.524,28,38,0.736842105,10,13,0.769230769,Jason Herzog,2020,"Las Vegas, Nevada, USA",Welterweight Bout,Alex Morono
Abdul Razak Alhassan,Khaos Williams,1,7,12,0.583333333,0,0,#DIV/0!,0,2,7,0.285714286,0,0,#DIV/0!,5,5,1,6,11,0.545454545,0,0,#DIV/0!,1,1,1,Mark Smith,2020,"Las Vegas, Nevada, USA",Welterweight Bout,Khaos Williams
Paul Felder,Rafael Dos Anjos,0,190,352,0.539772727,7,24,0.291666667,0,117,260,0.45,55,74,0.743243243,18,18,1,137,286,0.479020979,47,57,0.824561404,6,9,0.666666667,Herb Dean,2020,"Las Vegas, Nevada, USA",Lightweight Bout,Rafael Dos Anjos
Don'Tale Mayes,Roque Martinez,0,117,246,0.475609756,2,4,0.5,0,64,176,0.363636364,36,48,0.75,17,22,0.772727273,108,233,0.463519313,9,10,0.9,0,3,0,Chris Tognoni,2020,"Las Vegas, Nevada, USA",Heavyweight Bout,Don'Tale Mayes
Thiago Santos,Glover Teixeira,1,86,127,0.677165354,4,7,0.571428571,2,84,121,0.694214876,0,4,0,2,2,1,13,29,0.448275862,0,0,#DIV/0!,73,98,0.744897959,Herb Dean,2020,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Glover Teixeira
Andrei Arlovski,Tanner Boser,0,102,201,0.507462687,0,0,#DIV/0!,0,32,111,0.288288288,12,22,0.545454545,58,68,0.852941176,101,199,0.507537688,1,2,0.5,0,0,#DIV/0!,Mark Smith,2020,"Las Vegas, Nevada, USA",Heavyweight Bout,Andrei Arlovski
Alexandr Romanov,Marcos Rogerio de Lima,0,24,36,0.666666667,2,5,0.4,1,10,20,0.5,6,7,0.857142857,8,9,0.888888889,12,22,0.545454545,8,10,0.8,4,4,1,Herb Dean,2020,"Las Vegas, Nevada, USA",Heavyweight Bout,Alexandr Romanov
Claudia Gadelha,Yan Xiaonan,0,110,266,0.413533835,2,10,0.2,0,83,227,0.365638767,21,32,0.65625,6,7,0.857142857,88,237,0.371308017,15,21,0.714285714,7,8,0.875,Jason Herzog,2020,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Yan Xiaonan
Darren Elkins,Eduardo Garagorri,0,68,150,0.453333333,7,21,0.333333333,1,49,127,0.385826772,18,22,0.818181818,1,1,1,48,124,0.387096774,15,19,0.789473684,5,7,0.714285714,Chris Tognoni,2020,"Las Vegas, Nevada, USA",Featherweight Bout,Darren Elkins
Giga Chikadze,Jamey Simmons,1,10,20,0.5,0,4,0,0,8,17,0.470588235,2,3,0.666666667,0,0,#DIV/0!,5,13,0.384615385,1,1,1,4,6,0.666666667,Herb Dean,2020,"Las Vegas, Nevada, USA",Featherweight Bout,Giga Chikadze
Raoni Barcelos,Khalid Taha,0,169,409,0.413202934,2,5,0.4,1,125,352,0.355113636,22,32,0.6875,22,25,0.88,157,388,0.404639175,7,13,0.538461538,5,8,0.625,Jason Herzog,2020,"Las Vegas, Nevada, USA",Bantamweight Bout,Raoni Barcelos
Trevin Giles,Bevon Lewis,2,64,134,0.47761194,1,8,0.125,0,49,113,0.433628319,8,12,0.666666667,7,9,0.777777778,55,122,0.450819672,8,11,0.727272727,1,1,1,Mark Smith,2020,"Las Vegas, Nevada, USA",Middleweight Bout,Trevin Giles
Gustavo Lopez,Anthony Birchak,0,43,83,0.518072289,2,3,0.666666667,1,25,60,0.416666667,14,19,0.736842105,4,4,1,27,60,0.45,8,12,0.666666667,8,11,0.727272727,Chris Tognoni,2020,"Las Vegas, Nevada, USA",Bantamweight Bout,Gustavo Lopez
Max Griffin,Ramiz Brahimaj,0,119,290,0.410344828,0,1,0,0,90,247,0.36437247,17,30,0.566666667,12,13,0.923076923,118,289,0.408304498,1,1,1,0,0,#DIV/0!,Mark Smith,2020,"Las Vegas, Nevada, USA",Welterweight Bout,Max Griffin
Chris Gruetzemacher,Alexander Hernandez,1,37,79,0.46835443,0,0,#DIV/0!,0,20,54,0.37037037,4,11,0.363636364,13,14,0.928571429,36,77,0.467532468,1,2,0.5,0,0,#DIV/0!,Mark Smith,2020,"Las Vegas, Nevada, USA",Lightweight Bout,Alexander Hernandez
Adrian Yanez,Victor Rodriguez,1,23,47,0.489361702,0,3,0,0,20,43,0.465116279,3,4,0.75,0,0,#DIV/0!,22,45,0.488888889,1,2,0.5,0,0,#DIV/0!,Herb Dean,2020,"Las Vegas, Nevada, USA",Bantamweight Bout,Adrian Yanez
Maurice Greene,Greg Hardy,1,63,111,0.567567568,1,1,1,0,38,76,0.5,8,10,0.8,17,25,0.68,35,72,0.486111111,0,0,#DIV/0!,28,39,0.717948718,Herb Dean,2020,"Las Vegas, Nevada, USA",Heavyweight Bout,Greg Hardy
Sean Strickland,Jack Marshman,0,154,479,0.321503132,0,0,#DIV/0!,0,107,379,0.2823219,33,80,0.4125,14,20,0.7,154,479,0.321503132,0,0,#DIV/0!,0,0,#DIV/0!,Keith Peterson,2020,"Las Vegas, Nevada, USA",Middleweight Bout,Sean Strickland
Bobby Green,Thiago Moises,0,127,296,0.429054054,4,6,0.666666667,1,58,206,0.281553398,36,47,0.765957447,33,43,0.76744186,124,289,0.429065744,3,4,0.75,0,3,0,Keith Peterson,2020,"Las Vegas, Nevada, USA",Lightweight Bout,Thiago Moises
Kevin Holland,Charlie Ontiveros,0,13,14,0.928571429,2,2,1,0,12,13,0.923076923,0,0,#DIV/0!,1,1,1,4,5,0.8,0,0,#DIV/0!,9,9,1,Mark Smith,2020,"Las Vegas, Nevada, USA",Middleweight Bout,Kevin Holland
